Constituency,ONS Code,Total population,Population weighting,Region,Country,Change,Party,Majority,Turnout,Con,Lab,LD,Grn,Brx,SNP,PC,DUP,SF,APNI,SDLP,UUP,Aontú,PBP,Con (NI),Grn (NI),Other[a],Total,Votes for winner,% majority,Probability,Voter Power Index
Cumbernauld and Kirkintilloch,S14000072,92800,1.11039506,SC,Scotland,28.1,SNP,12005,68.3,7243,13079,2691,115,0,25084,0,,,,,,,,,,0,48212,25084,25%,0.030745968,0.068280341
Wells and Mendip Hills,E14001572,88605,1.162966667,SW,England,75.1,Con,14295,80.8,31678,6076,17383,661,0,0,0,,,,,,,,,,643,56441,31678,25%,0.029310529,0.068174337
Brentford and Isleworth,E14001124,128727,0.800489886,GL,England,44.6,Lab,11369,67.6,14609,25978,8425,1540,1063,0,0,,,,,,,,,,0,51615,25978,22%,0.042420652,0.067914606
Penrith and Solway,E14001424,97240,1.059694175,NW,England,109.9,Con,"13,760",72.7,30576,16816,4556,1733,1000,0,0,,,,,,,,,,1097,"55,778",30576,25%,0.031552567,0.066872144
South Devon,E14001484,90690,1.13622959,SW,England,6.3,Con,13719,75.6,29027,9228,15308,82,0,0,0,,,,,,,,,,544,54189,29027,25%,0.029344646,0.066684511
Dover and Deal,E14001202,103073,0.999725064,SE,England,0.8,Con,12421,67.5,29117,16696,2927,1404,0,0,0,,,,,,,,,,1053,51197,29117,24%,0.033027982,0.066037802
Pendle and Clitheroe,E14001422,108796,0.94713649,NW,England,48.7,Con,11568,63,27619,16051,3562,1010,0,0,0,,,,,,,,,,268,48510,27619,24%,0.034597644,0.065537382
Hampstead and Highgate,E14001265,116880,0.881627837,GL,England,69.3,Lab,13400,77.3,13296,27338,13938,2096,719,0,0,,,,,,,,,,0,57387,27338,23%,0.036575611,0.064492154
Birmingham Selly Oak,E14001099,107994,0.954170246,WM,England,5.8,Lab,11645,63.4,15291,26936,3018,1783,1319,0,0,,,,,,,,,,0,48347,26936,24%,0.033681317,0.064275422
Basingstoke,E14001078,110027,0.936539772,SE,England,21.1,Con,12301,66.4,26966,14665,6797,2007,0,0,0,,,,,,,,,,746,51181,26966,24%,0.033877986,0.063456163
Jarrow and Gateshead East,E14001307,93845,1.098030386,NE,England,30.2,Lab,10317,57,9600,19917,2649,1009,3843,0,0,,,,,,,,,,3488,40506,19917,25%,0.028844935,0.063345231
St Neots and Mid Cambridgeshire,E14001512,105702,0.974860093,EE,England,111.1,Con,12250,67,25670,9414,13420,853,0,0,0,,,,,,,,,,686,50043,25670,24%,0.032232199,0.062843768
Norwich South,E14001409,105228,0.979251355,EE,England,2.4,Lab,12583,70,14881,27464,4851,2477,1635,0,0,,,,,,,,,,0,51308,27464,25%,0.032068388,0.062806025
Tooting,E14001550,107287,0.960458038,GL,England,none,Lab,14307,76,16504,30811,8305,2314,462,0,0,,,,,,,,,,77,58473,30811,24%,0.032272819,0.061993377
Frome and East Somerset,E14001241,92146,1.118276013,SW,England,91.7,Con,12395,68.4,23646,10156,11251,2917,0,0,0,,,,,,,,,,0,47970,23646,26%,0.027677857,0.061902967
East Kilbride and Strathaven,S14000077,96000,1.073381891,SC,Scotland,10.5,SNP,13169,68.8,11042,11142,3556,1074,0,24311,0,,,,,,,,,,559,51684,24311,25%,0.028814137,0.061857145
Ely and East Cambridgeshire,E14001224,105469,0.977013734,EE,England,54.2,Con,13449,71.4,29385,7825,15936,310,0,0,0,,,,,,,,,,1009,54465,29385,25%,0.031468934,0.061491161
Morecambe and Lunesdale,E14001372,98306,1.048203177,NW,England,42.3,Con,14188,73.2,29834,15646,8689,704,231,0,0,,,,,,,,,,548,55652,29834,25%,0.028768015,0.060309449
North East Derbyshire,E14001391,92439,1.114731461,EM,England,0.9,Con,12902,68.4,28896,15994,3039,1319,231,0,0,,,,,,,,,,0,49479,28896,26%,0.026953919,0.060092763
Telford,E14001541,104804,0.98321306,WM,England,2.1,Con,10900,61.5,25842,14942,2714,27,0,0,0,,,,,,,,,,0,43525,25842,25%,0.030258686,0.059501471
Livingston,S14000095,104000,0.990814053,SC,Scotland,9.7,SNP,12424,65.3,10800,10851,3056,1272,0,23275,0,,,,,,,,,,0,49254,23275,25%,0.029650566,0.058756394
"Inverness, Skye and West Ross-shire",S14000094,103000,1.000433607,SC,Scotland,63.7,SNP,12865,66,11852,4771,7677,724,1042,24717,0,,,,,,,,,,0,50783,24717,25%,0.02929101,0.058607422
Mid Sussex,E14001366,98398,1.04722313,SE,England,45.4,Con,13665,73.3,27154,9530,13489,2179,0,0,0,,,,,,,,,,597,52949,27154,26%,0.027774785,0.058172794
St Helens North,E14001509,100169,1.028708099,NW,England,none,Lab,12209,62.5,12661,24870,2668,1966,5396,0,0,,,,,,,,,,0,47561,24870,26%,0.028206335,0.058032171
Falkirk,S14000083,98600,1.045077703,SC,Scotland,41.7,SNP,12578,64.9,12632,5880,3304,1511,176,25210,0,,,,,,,,,,0,48713,25210,26%,0.027735088,0.057970645
Thornbury and Yate,E14001545,98163,1.049730158,SW,England,10.9,Con,14538,74.8,32798,4899,18260,126,0,0,0,,,,,,,,,,0,56083,32798,26%,0.027421056,0.05756942
Beaconsfield,E14001082,96476,1.068085965,SE,England,7.9,Con,13772,72.8,29211,5211,0,1935,0,0,0,,,,,,,,,,16276,52633,29211,26%,0.026682439,0.056998277
Buckingham and Bletchley,E14001141,105634,0.975487642,SE,England,91.5,Con,13345,71.4,27912,14567,8118,629,508,0,0,,,,,,,,,,875,52609,27912,25%,0.029182619,0.056934568
Glastonbury and Somerton,E14001247,91963,1.120501305,SW,England,71.7,Con,14183,76,30606,5095,16423,1070,0,0,0,,,,,,,,,,0,53194,30606,27%,0.02523865,0.056559882
Chippenham,E14001168,97944,1.052077325,SW,England,96,Con,13200,70.5,28485,5896,15285,853,0,0,0,,,,,,,,,,0,50519,28485,26%,0.026794171,0.05637908
"Oldham West, Chadderton and Royton",E14001416,112024,0.919844511,NW,England,none,Lab,11127,59.9,13452,24579,1484,681,3316,0,0,,,,,,,,,,922,44434,24579,25%,0.03026358,0.055675576
Stafford,E14001513,94546,1.089889171,WM,England,55.2,Con,13720,72.7,29731,16011,3272,2297,0,0,0,,,,,,,,,,0,51311,29731,27%,0.025024382,0.054547606
Kilmarnock and Loudoun,S14000040,97200,1.060130263,SC,Scotland,none,SNP,12659,63.7,11557,9009,2444,0,0,24216,0,,,,,,,,,,405,47631,24216,27%,0.025481646,0.054027729
Croydon South,E14001187,101039,1.01985037,GL,England,27.2,Con,13408,71.1,27725,14317,6885,1466,59,0,0,,,,,,,,,,442,50894,27725,26%,0.026153249,0.053344802
Worthing West,E14001599,99730,1.033236354,SE,England,25.5,Con,13912,68.9,29433,15521,5213,1904,0,0,0,,,,,,,,,,489,52560,29433,26%,0.025792991,0.053300511
Stockport,E14001517,104843,0.98284732,NW,England,48.9,Lab,12012,61.5,12968,24980,3986,1635,2448,0,0,,,,,,,,,,0,46017,24980,26%,0.026870464,0.052819127
North Devon,E14001387,98611,1.044961125,SW,England,none,Con,14813,72.7,31479,5097,16666,1759,0,0,0,,,,,,,,,,580,55581,31479,27%,0.025271427,0.052815318
Harpenden and Berkhamsted,E14001268,95141,1.083073139,EE,England,99.2,Con,15044,77.8,29136,5908,14092,907,0,0,0,,,,,,,,,,5695,55738,29136,27%,0.024328902,0.052699961
Farnham and Bordon,E14001234,100196,1.028430891,SE,England,84.5,Con,13577,70.1,30376,3487,16799,479,0,0,0,,,,,,,,,,0,51141,30376,27%,0.025564712,0.05258308
Ealing North,E14001208,127756,0.80657395,GL,England,1.9,Lab,11908,66.8,15555,27463,4311,1435,0,0,0,,,,,,,,,,0,48764,27463,24%,0.032446964,0.052341751
Bolton South and Walkden,E14001111,123536,0.834126583,NW,England,66.5,Lab,10929,58.1,13961,24890,1695,1077,2361,0,0,,,,,,,,,,0,43984,24890,25%,0.030928214,0.051596091
Bassetlaw,E14001079,104202,0.988893318,EM,England,4.3,Con,12588,62.9,25941,13353,3210,0,5173,0,0,,,,,,,,,,0,47677,25941,26%,0.025984736,0.051392264
North Norfolk,E14001396,86968,1.184857207,EE,England,1.5,Con,14492,72.9,30145,3980,15653,45,1739,0,0,,,,,,,,,,0,51562,30145,28%,0.02147178,0.050881986
Rugby,E14001453,109407,0.941847062,WM,England,0.8,Con,13395,70.4,29308,15913,4236,1662,0,0,0,,,,,,,,,,0,51119,29308,26%,0.026570695,0.050051061
Hemel Hempstead,E14001278,103296,0.997566813,EE,England,23.1,Con,13161,69.6,26963,13802,5569,1432,0,0,0,,,,,,,,,,1299,49065,26963,27%,0.024788126,0.049455624
Halesowen,E14001261,94737,1.087691837,WM,England,55.7,Con,12082,62.5,26341,14259,1525,1066,0,0,0,,,,,,,,,,533,43724,26341,28%,0.022641327,0.049253574
Sheffield Heeley,E14001469,105675,0.97510917,YH,England,33.1,Lab,12220,61.2,12399,24619,3070,1964,3643,0,0,,,,,,,,,,0,45695,24619,27%,0.025014221,0.048783193
Tunbridge Wells,E14001555,105426,0.977412228,SE,England,none,Con,14645,72.7,30119,8098,15474,0,0,0,0,,,,,,,,,,959,54650,30119,27%,0.024859849,0.048596642
Banbury,E14001072,101692,1.013301553,SE,England,55.2,Con,13799,72.6,26397,12598,10335,1480,0,0,0,,,,,,,,,,0,50810,26397,27%,0.023876809,0.048388815
Alloa and Grangemouth,S14000064,94300,1.09273236,SC,Scotland,99.7,SNP,12727,63.2,11323,6622,2426,678,177,24050,0,,,,,,,,,,382,45658,24050,28%,0.022035377,0.048157538
